日期,时间段,充电量,放电量,时刻,储电量
2025-03-20,0:00-4:00,3642.7826270061746,711.1758666666667,0:00,6994.024871435183
2025-03-20,4:00-8:00,2388.997870987657,5839.690541111112,24:00,6733.9909356944445
2025-03-20,8:00-12:00,5172.248460699589,2777.3772166666668,,
2025-03-20,12:00-16:00,4699.656852194791,128.36426666666648,,
2025-03-20,16:00-20:00,0.0,8257.177091666668,,
2025-03-20,20:00-24:00,5732.440010853909,45.507474999999886,,
2025-06-21,0:00-4:00,728.5281666666667,3876.9752303749992,0:00,8111.231349675929
2025-06-21,4:00-8:00,1412.3680472222218,1733.7120361111113,24:00,8481.400822083333
2025-06-21,8:00-12:00,7773.398911762681,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,35.00128333333339,4213.037761833334,,
2025-06-21,20:00-24:00,6619.890087088478,3264.163508333333,,
2025-09-23,0:00-4:00,5734.751499718032,1143.81635,0:00,6909.630705809327
2025-09-23,4:00-8:00,1323.335888820303,5702.643749999999,24:00,7043.183221697532
2025-09-23,8:00-12:00,5889.009160536691,1879.2483166666664,,
2025-09-23,12:00-16:00,2646.317893029833,403.62491666666654,,
2025-09-23,16:00-20:00,149.5073333333337,7047.844666666666,,
2025-09-23,20:00-24:00,5817.224890020576,1166.3435347222223,,
2025-12-21,0:00-4:00,4601.797092608463,89.17734999999993,0:00,6700.763061096826
2025-12-21,4:00-8:00,1618.3931069958853,2093.1967999999997,24:00,6693.23479115741
2025-12-21,8:00-12:00,6040.11130807613,5878.188183333332,,
2025-12-21,12:00-16:00,4986.593547890949,2220.1094166666667,,
2025-12-21,16:00-20:00,0.0,5557.304574999998,,
2025-12-21,20:00-24:00,5807.088461368312,2842.5257666666666,,
