date,q0_kwh,active_kwh,up_kwh,down_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh,storage_loss_kwh,plan_cost,up_cost,down_penalty,refund,emergency_cost,total_cost,start_soc_kwh,end_soc_kwh,forecast_plan_cost,price_mae_0,mean_actual_price
2025-02-01,50237.08592745909,50271.81524012021,34.72931266111732,0.0,0.0,16362.802281209088,12981.62062442222,12512.457650000008,3078.682519723378,23072.64114482976,42.61286663519095,0.0,0.0,0.0,23115.25401146495,7351.026421393297,7653.525558456791,24281.4677383081,0.07714965277777777,0.6514930555555556
2025-02-02,95557.89304708007,95644.05165552451,86.1586084444416,0.0,0.0,17624.822473491084,14493.538928694446,14156.490160727883,3372.8754616484916,69564.73258070908,165.23067134432787,0.0,0.0,0.0,69729.9632520534,7653.525558456791,7411.933641604937,74014.12676094563,0.08738142361111112,0.8363881944444445
2025-02-03,97205.08581547256,97292.749877917,87.66406244444266,0.0,0.0,18274.292575857333,14770.080268444448,13571.621070504123,3468.5492874128945,71896.2344145688,165.2642905202633,0.0,0.0,0.0,72061.49870508905,7411.933641604937,7447.596661604935,74566.4345091276,0.07680399305555556,0.8447902777777778
2025-02-04,99801.36205347616,100472.55980969839,671.1977562222287,0.0,0.0,17550.695461388892,14125.595535263888,15852.595933573395,3324.58016116821,74597.06963362402,1110.2386853580547,0.0,0.0,0.0,75707.30831898208,7447.596661604935,7548.116426561728,77151.56952839148,0.0688545138888889,0.8491895833333333
2025-02-05,93545.16347597633,94422.59382711523,877.4303511388932,0.0,0.0,17201.285985432103,14123.407949083337,10596.28880743313,3289.396148441359,69081.98219975125,1503.0106820143567,0.0,0.0,0.0,70584.9928817656,7548.116426561728,7336.5983144691345,71236.55771931939,0.07384149305555557,0.8482541666666666
2025-02-06,100309.37079592506,100550.11138827229,240.7405923472204,0.0,0.0,18341.110346337446,14808.135975222225,16746.079800490403,3479.4594763251034,74570.99565013166,447.4270101921634,0.0,0.0,0.0,75018.42266032382,7336.5983144691345,7390.113209259257,77583.90484949255,0.07758333333333334,0.8439645833333334
2025-02-07,49578.09145382991,49578.09145382991,0.0,0.0,0.0,15149.815120953359,12633.430805888891,15256.02747209878,2918.696046082991,22749.33739708914,0.0,0.0,0.0,0.0,22749.33739708914,7390.113209259257,6987.80147824074,23901.398513139924,0.07940121527777777,0.6440388888888889
2025-02-08,42167.58372183264,42327.57528655487,159.9915647222243,0.0,0.0,16671.28719183814,13498.001550055558,7577.126928105621,3166.9066691899875,18244.854080795078,194.84258955582658,0.0,0.0,0.0,18439.696670350902,6987.80147824074,6994.1804508333325,19012.97014989237,0.06820381944444445,0.6423513888888889
2025-02-09,91735.174419667,91859.47260900034,124.29818933333377,0.0,0.0,18721.901707544574,15353.093440527777,8935.24837531688,3578.089441924211,66532.00153788962,232.3133158640008,0.0,0.0,0.0,66764.31485375362,6994.1804508333325,6784.899275925925,69312.05290881588,0.06405555555555557,0.8413840277777778
2025-02-10,88530.76203290107,88530.76203290107,0.0,0.0,0.0,18901.105367781212,15188.64960765278,10491.668689439302,3577.7382709617636,62541.473747817356,0.0,0.0,0.0,0.0,62541.473747817356,6784.899275925925,6919.616765092593,63805.65792572045,0.04313611111111111,0.8180638888888888
2025-02-11,88550.69027050411,89243.09053322634,692.4002627222237,0.0,0.0,18978.596367592592,15562.709438666669,10606.60647096708,3627.049574388889,62737.87359336637,1191.8134733982772,0.0,0.0,0.0,63929.68706676464,6919.616765092593,6708.454119629627,63838.59435420254,0.039537499999999996,0.828492361111111
2025-02-12,88944.68808709687,88944.68808709687,0.0,0.0,0.0,19004.66760697875,15389.452935986115,10062.737282770917,3610.4059758074436,62985.686384221386,0.0,0.0,0.0,0.0,62985.686384221386,6708.454119629627,6713.262814814814,64166.83664780056,0.044407638888888885,0.8264243055555556
2025-02-13,83777.54543102605,83784.01379460939,6.468363583330529,0.0,0.0,17797.025283641982,14318.896439249998,8976.405933550746,3370.6910216141982,57892.581793480116,9.699634611383296,0.0,0.0,0.0,57902.2814280915,6713.262814814814,6820.700637592595,58977.31653769993,0.053643055555555555,0.8147909722222222
2025-02-14,41641.46760570455,42107.140571232325,465.67296552777293,0.0,0.0,17229.233076869,13850.012661541672,8926.11833923833,3261.813603413753,17947.651344794598,565.0018240750355,0.0,0.0,0.0,18512.653168869634,6820.700637592595,6938.107449506173,17787.573106603755,0.04500277777777778,0.6311
2025-02-15,41734.7529697668,41959.49809010013,224.74512033333212,0.0,0.0,17571.12945596709,14580.629480222226,9688.90701435527,3377.182887843623,18398.486156926174,264.6710909605486,0.0,0.0,0.0,18663.157247886724,6938.107449506173,6551.424537407409,17595.304124476683,0.03733611111111111,0.6378472222222222
