date,price_model,history_pv_model
2025-07-24,lag7,mean7
2025-07-25,lag7,mean7
2025-07-26,lag7,mean7
2025-07-27,lag7,mean7
2025-07-28,lag7,mean7
2025-07-29,lag7,mean7
2025-07-30,lag7,mean7
2025-07-31,lag7,mean7
2025-08-01,lag7,mean7
2025-08-02,lag7,mean7
2025-08-03,lag7,mean7
2025-08-04,lag7,mean7
2025-08-05,lag7,mean7
2025-08-06,lag7,mean7
2025-08-07,lag7,mean7
2025-08-08,lag7,mean7
2025-08-09,lag7,mean7
2025-08-10,lag7,mean7
2025-08-11,weekday4,mean7
2025-08-12,weekday4,mean7
2025-08-13,weekday4,mean7
2025-08-14,weekday4,mean7
2025-08-15,weekday4,mean7
2025-08-16,weekday4,mean7
2025-08-17,weekday4,mean7
2025-08-18,weekday4,mean7
2025-08-19,weekday4,mean7
2025-08-20,weekday4,mean7
2025-08-21,weekday4,mean7
2025-08-22,weekday4,mean7
2025-08-23,weekday4,mean7
2025-08-24,weekday4,mean7
2025-08-25,weekday4,mean7
2025-08-26,weekday4,mean7
2025-08-27,weekday4,mean7
2025-08-28,weekday4,mean7
2025-08-29,weekday4,mean7
2025-08-30,weekday4,mean7
2025-08-31,weekday4,mean7
2025-09-01,weekday4,mean7
2025-09-02,weekday4,mean7
2025-09-03,weekday4,mean7
2025-09-04,weekday4,mean7
2025-09-05,weekday4,mean7
2025-09-06,weekday4,mean7
2025-09-07,weekday4,mean7
2025-09-08,weekday4,mean7
2025-09-09,weekday4,mean7
2025-09-10,weekday4,mean7
2025-09-11,weekday4,mean7
2025-09-12,weekday4,mean7
2025-09-13,weekday4,mean7
2025-09-14,lag7,mean7
2025-09-15,lag7,mean7
2025-09-16,lag7,mean7
2025-09-17,lag7,mean7
2025-09-18,lag7,mean7
2025-09-19,lag7,mean7
2025-09-20,lag7,mean7
2025-09-21,lag7,mean7
2025-09-22,lag7,mean7
2025-09-23,lag7,mean7
2025-09-24,lag7,mean7
2025-09-25,lag7,mean7
2025-09-26,lag7,mean7
2025-09-27,lag7,mean7
2025-09-28,lag7,mean7
2025-09-29,lag7,mean7
2025-09-30,lag7,mean7
2025-10-01,lag7,mean7
2025-10-02,lag7,mean7
2025-10-03,lag7,mean7
2025-10-04,lag7,mean7
2025-10-05,lag7,mean7
2025-10-06,lag7,mean7
2025-10-07,lag7,mean7
2025-10-08,lag7,mean7
2025-10-09,lag7,mean7
2025-10-10,lag7,mean7
2025-10-11,lag7,mean7
2025-10-12,lag7,mean7
2025-10-13,lag7,mean7
2025-10-14,weekday4,mean7
2025-10-15,weekday4,mean7
2025-10-16,weekday4,mean7
2025-10-17,weekday4,mean7
2025-10-18,weekday4,mean7
2025-10-19,weekday4,mean7
2025-10-20,weekday4,mean7
2025-10-21,weekday4,mean7
2025-10-22,weekday4,mean7
2025-10-23,weekday4,mean7
2025-10-24,weekday4,mean7
2025-10-25,weekday4,mean7
2025-10-26,weekday4,mean7
2025-10-27,weekday4,mean7
2025-10-28,weekday4,mean7
2025-10-29,weekday4,mean7
2025-10-30,weekday4,mean7
2025-10-31,weekday4,mean7
2025-11-01,weekday4,mean7
2025-11-02,weekday4,mean7
2025-11-03,weekday4,mean7
2025-11-04,weekday4,mean7
2025-11-05,weekday4,mean7
2025-11-06,weekday4,mean7
2025-11-07,weekday4,mean7
2025-11-08,weekday4,mean7
2025-11-09,weekday4,mean7
2025-11-10,weekday4,mean7
2025-11-11,weekday4,mean7
2025-11-12,weekday4,mean7
2025-11-13,weekday4,mean7
2025-11-14,weekday4,mean7
2025-11-15,lag7,mean7
2025-11-16,lag7,mean7
2025-11-17,lag7,mean7
2025-11-18,lag7,mean7
2025-11-19,lag7,mean7
2025-11-20,lag7,mean7
2025-11-21,lag7,mean7
2025-11-22,lag7,mean7
2025-11-23,lag7,mean7
2025-11-24,lag7,mean7
2025-11-25,lag7,mean7
2025-11-26,lag7,mean7
2025-11-27,lag7,mean7
2025-11-28,lag7,mean7
2025-11-29,lag7,mean7
2025-11-30,lag7,mean7
2025-12-01,lag7,mean7
2025-12-02,lag7,mean7
2025-12-03,lag7,mean7
2025-12-04,lag7,mean7
2025-12-05,lag7,mean7
2025-12-06,lag7,mean7
2025-12-07,lag7,mean7
2025-12-08,lag7,mean7
2025-12-09,lag7,mean7
2025-12-10,lag7,mean7
2025-12-11,lag7,mean7
2025-12-12,lag7,mean7
2025-12-13,lag7,mean7
2025-12-14,lag7,mean7
2025-12-15,lag7,mean7
2025-12-16,lag7,mean7
2025-12-17,lag7,mean7
2025-12-18,lag7,mean7
2025-12-19,lag7,mean7
2025-12-20,lag7,mean7
2025-12-21,lag7,mean7
2025-12-22,lag7,mean7
2025-12-23,lag7,mean7
2025-12-24,lag7,mean7
2025-12-25,lag7,mean7
2025-12-26,lag7,mean7
2025-12-27,lag7,mean7
2025-12-28,lag7,mean7
2025-12-29,lag7,mean7
2025-12-30,lag7,mean7
2025-12-31,lag7,mean7
