issue_hour,mae_yuan_per_kwh,rmse_yuan_per_kwh,bias_yuan_per_kwh,price_weighted_mae,target_intervals_per_day
0,0.046463568695941454,0.065269130975898,-0.0007751393047238858,0.0488544330538568,144
6,0.05019455178760627,0.07050830768670396,-0.00045222450052122336,0.05101981282901587,108
12,0.046432018756838146,0.06716573654098698,-0.0005965967530796023,0.04846842742539409,72
18,0.04173969365884908,0.0638313877648803,-0.0010221718516538482,0.04534737339877411,36
fixed_attachment1,0.09632272538256821,0.13037726815564848,-0.008669702262142377,0.10374711640845703,144
