case,pv_source,updates,price_information,days,total_cost_yuan,plan_cost_yuan,up_cost_yuan,down_penalty_yuan,refund_yuan,emergency_cost_yuan,emergency_kwh,emergency_days,spill_kwh,price_forecast_mae_0,price_forecast_rmse_0,start_soc_kwh,end_soc_kwh,inventory_value_yuan_per_soc_kwh,inventory_adjusted_cost_yuan,max_solver_relative_gap,max_solver_absolute_gap,audit_passed
q4_2,history,0,causal,334,14883385.789425153,14337966.744683504,0.0,0.0,0.0,545419.0447416477,85886.0702879958,72,2898611.9430490765,0.046463568695941454,0.065269130975898,7351.026421393297,6422.694858538359,0.33417,14883696.009983512,8.247907541129809e-06,0.45206169728771783,True
q4_3,published,"0,6,12,18",causal,334,14966478.160888875,14597696.870662924,265793.47600756347,0.0,0.0,102987.81421838785,19239.398900241238,61,3335413.6951881517,0.046463568695941454,0.065269130975898,7351.026421393297,6422.69486912037,0.33417,14966788.381443698,0.031049676041560108,0.20631170349224703,True
