日期,预测负载MAE_kW,预测光伏MAE_kW,预测净负荷MAE_kWh,计划购电量_kWh,计划购电费_元,紧急购电量_kWh,紧急购电费_元,总购电费_元,弃光量_kWh,弃光率,未利用外网电量_kWh,期初SOC_kWh,期末SOC_kWh,正向备用缺口_kWh,反向备用缺口_kWh,优化目标值,计划终端SOC偏差_kWh
2025-02-01,418.6785685674723,65.81285101751502,73.66976131598295,51159.089899136634,33391.77090558388,0.0,0.0,33391.77090558388,11574.2966821115,0.2760581082297306,3244.4277819466174,10800.0,10800.0,0.0,509.3773363510736,35429.28038083223,0.0
2025-02-02,114.34022604382032,122.9158154063435,28.73180445198318,86046.30115782132,61258.01075473125,0.0,0.0,61258.01075473125,5323.115081054631,0.12279475363997505,1258.4728311981694,10800.0,9145.54543634523,0.0,513.4119625912572,63311.65862446368,0.0
2025-02-03,118.63858733080608,81.9537028403322,27.482208191991194,88775.35262162742,63029.42045864089,0.0,0.0,63029.42045864089,4436.38600930227,0.10466420004415923,1306.658689493516,9145.54543634523,9416.981925176073,0.0,0.0,63029.42045864089,0.0
2025-02-04,168.5508183086614,88.58490906664812,29.817122664434855,89423.02341746016,63433.25722026371,0.0,0.0,63433.25722026371,4408.128813358482,0.10915739722868219,1135.2792927475302,9416.981925176073,9374.880527318426,0.0,0.0,63433.25722026371,0.0
2025-02-05,123.00647605358432,90.12483275898826,26.30154938405527,88420.60291104164,62630.07396294535,0.0,0.0,62630.07396294535,3921.5153515909296,0.095083963887272,1180.3695328719964,9374.880527318426,9207.60145597578,0.0,0.0,62630.07396294535,0.0
2025-02-06,131.77351106583788,66.00611143804498,28.47876553734467,89122.40347263817,63135.334227194166,0.0,0.0,63135.334227194166,4962.908109451036,0.11821766131007032,1286.4571539002814,9207.60145597578,9059.145104860614,0.0,0.0,63135.334227194166,0.0
2025-02-07,570.8220168932233,165.10015016964246,113.98605933818686,53893.77803882827,34725.41689394759,0.0,0.0,34725.41689394759,15015.589395153838,0.33847164073757224,3575.7986528186825,9059.145104860614,10510.981030240868,0.0,0.0,34725.41691080711,0.0
2025-02-08,360.95170021337367,117.0723695647386,70.29912023958225,48929.9370999253,31074.943770896207,0.0,0.0,31074.943770896207,14019.363932935408,0.3173983024853634,1669.7193730477538,10510.981030240868,10177.627262080132,0.0,219.2237135403575,31951.838935736552,0.0
2025-02-09,152.19706684398182,118.27652551098228,34.02995132129962,80251.42961319548,56125.341992679256,0.0,0.0,56125.341992679256,0.0,0.0,0.0,10177.627262080132,7734.733285830179,0.0,0.0,56125.342001097364,0.0
2025-02-10,113.46413090476592,208.87231574126957,48.0330531363353,87564.25711485883,60896.33014335358,0.0,0.0,60896.33014335358,8659.166651413843,0.18364785624802318,1398.1437614588021,7734.733285830179,8198.545626964655,0.0,0.0,60896.330143353574,0.0
2025-02-11,92.62490289163219,130.7161780696639,31.2730854310884,85522.40965373431,59487.78494660478,0.0,0.0,59487.78494660478,6205.967251415758,0.13426818146004657,1491.243385397706,8198.545626964655,8112.912723198451,0.0,0.0,59487.784946604785,0.0
2025-02-12,104.64679075473961,130.128322244091,33.934076132858536,85407.56616457287,59392.584180544116,0.0,0.0,59392.584180544116,6262.586695786218,0.1358563645043205,1088.4897203021,8112.912723198451,8165.413576878693,0.0,0.0,59392.584180544116,0.0
2025-02-13,108.81853761294114,257.04446281640116,56.982611019437705,84868.8419407689,59047.31913715962,0.0,0.0,59047.31913715962,9435.422370507851,0.18878092153862125,1450.7984349309422,8165.413576878693,8254.484185131092,0.0,0.0,59047.31913715961,0.0
2025-02-14,523.9471180933846,111.80931052549043,88.94080920509637,51336.119903323066,32190.62378445669,0.0,0.0,32190.62378445669,15610.757255666435,0.3388424992003061,1714.9915484004484,8254.484185131092,10451.23849905673,0.0,0.0,32190.62412082793,0.0
2025-02-15,333.76164339484353,87.11535270985038,66.4662036536494,46264.70256472222,28843.495039641828,0.0,0.0,28843.495039641828,14676.610319893774,0.3137740116947082,1155.595825406285,10451.23849905673,9482.649659992307,0.0,54.63807048295166,29062.047733653708,0.0
2025-02-16,176.48950067768718,99.859209368649,30.76162777842613,77200.3633541012,53323.89864686174,0.0,0.0,53323.89864686174,655.5305193529728,0.014281835686984367,286.45364910835457,9482.649659992307,7507.96286116501,0.0,0.0,53323.898646861744,0.0
2025-02-17,99.60386661916442,163.55379634593484,39.213916327106666,81953.50608869814,56521.660456699945,0.0,0.0,56521.660456699945,6781.212941660189,0.13623319492149627,864.7884610358576,7507.96286116501,8078.994687740421,0.0,0.0,56521.66045669995,0.0
2025-02-18,106.08787337502443,108.49716457636184,28.079387221264735,80125.2157512996,55398.185689609,0.0,0.0,55398.185689609,4353.373317441918,0.08841152765648795,706.8229398267124,8078.994687740421,8377.646589391275,0.0,0.0,55398.185689608996,0.0
2025-02-19,95.42109523178026,109.73873873005242,28.41166669957072,79905.72342294955,55354.655233077036,0.0,0.0,55354.655233077036,4140.234562379686,0.08451620053997362,846.3685748671603,8377.646589391275,7773.404605124703,0.0,0.0,55354.655233077036,0.0
2025-02-20,109.4423669877663,135.12258754686502,35.43874024134456,79578.11928991275,54872.54414221276,0.0,0.0,54872.54414221276,4824.16595635683,0.09626744266006447,611.1965331596691,7773.404605124703,8321.49814686634,0.0,0.0,54872.54414221276,0.0
2025-02-21,522.0452264660289,117.38169293794164,105.6161137672093,48964.777953965866,30511.63961351831,0.0,0.0,30511.63961351831,17902.630492506025,0.3563298264054156,1406.5827680546863,8321.49814686634,10416.280857828539,0.0,0.0,30511.639970671033,0.0
2025-02-22,353.4150808250842,69.28181622437715,55.751512615984424,44480.809476794035,27495.445140132564,0.0,0.0,27495.445140132564,14109.814266956835,0.29495312982298816,948.4063744870239,10416.280857828539,9799.813904843442,0.0,0.0,27495.44574571604,0.0
2025-02-23,189.50956915700428,132.72928069877202,29.85079772408796,73181.17208198668,50443.2942198394,0.0,0.0,50443.2942198394,911.2693291301537,0.018368555790415297,273.5174000352028,9799.813904843442,7404.4927873704155,0.0,0.0,50443.2942198394,0.0
2025-02-24,109.04648357876194,151.5595296816337,36.376451802435234,77928.80532177589,53332.1379085093,0.0,0.0,53332.1379085093,5809.121331899798,0.11080620923904731,511.3577642396598,7404.4927873704155,8198.513235272685,0.0,0.0,53332.1379085093,0.0
2025-02-25,100.87388739740338,234.27216719833146,48.866256600685816,76188.48026115148,52430.70893316955,0.0,0.0,52430.70893316955,7385.297340490463,0.13361731167830737,641.5712653130296,8198.513235272685,8029.169608399881,0.0,0.0,52430.708933169546,0.0
2025-02-26,110.2697880937251,107.54301649123883,26.631992247151413,75688.9165645955,52093.08109846436,0.0,0.0,52093.08109846436,3434.129099528923,0.06573013412101791,529.8347278789665,8029.169608399881,8337.842854751454,0.0,0.0,52093.08109846437,0.0
2025-02-27,101.80303570946077,171.2221263959068,38.66357894260922,75477.41364766931,50998.410569103835,0.0,0.0,50998.410569103835,5196.423398548306,0.09687065650863766,456.51673761323275,8337.842854751454,8295.736564338513,0.0,0.0,50998.410569103835,0.0
2025-02-28,536.0389719263206,124.07686286783405,97.4878758248837,45854.37693926436,28040.937177205713,0.0,0.0,28040.937177205713,16938.155508792748,0.32515526854262866,1357.6083709475547,8295.736564338513,10320.894723751542,0.0,0.0,28040.93762929858,0.0
2025-03-01,478.9158516913865,139.40048012829664,70.94057474016603,41010.99905007891,24755.748019186693,0.0,0.0,24755.748019186693,14661.223975012115,0.3017619638863144,1114.4485759810668,10320.894723751542,9554.819217659115,0.0,0.0,24755.748559454827,0.0
2025-03-02,157.59083865738089,214.70244185286776,56.39855806133849,69469.14911449708,46371.32893283629,2249.4658402415316,14895.784052603856,61267.112985440144,21.54266419518035,0.00047344319169571766,0.0,9554.819217659115,5985.600184396353,0.0,0.0,46371.32893283629,0.0
