date,q0_kwh,active_kwh,up_kwh,down_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh,storage_loss_kwh,plan_cost,up_cost,down_penalty,refund,emergency_cost,total_cost,start_soc_kwh,end_soc_kwh,forecast_plan_cost,price_mae_0,mean_actual_price
2025-02-01,47309.6989514509,47309.6989514509,0.0,0.0,0.0,15828.682645773753,12549.03302188627,9651.873394230079,2977.2052670091834,21659.76178316789,0.0,0.0,0.0,0.0,21659.76178316789,7351.026421393297,7653.470778271605,22782.246492175313,0.07714965277777777,0.6514930555555556
2025-02-02,92879.42519193019,92879.42519193019,0.0,0.0,0.0,17117.138204982515,14168.424229861232,11574.433266808905,3285.983179371722,67667.78881515202,0.0,0.0,0.0,0.0,67667.78881515202,7653.470778271605,7316.201574021165,71831.48963484034,0.08738142361111112,0.8363881944444445
2025-02-03,91583.65016113111,91583.65016113111,0.0,0.0,0.0,18064.03818103076,14601.279667396826,7903.975147497189,3428.768225591612,67465.25248983684,0.0,0.0,0.0,0.0,67465.25248983684,7316.201574021165,7350.1918620634915,69785.02640023938,0.07680399305555556,0.8447902777777778
2025-02-04,91976.22966405429,91976.22966405429,0.0,0.0,0.0,18170.220601538997,14628.357719333098,7239.502831848403,3442.3951400797996,67820.76799111812,0.0,0.0,0.0,0.0,67820.76799111812,7350.1918620634915,7449.659604189594,69993.2187731979,0.0688545138888889,0.8491895833333333
2025-02-05,90670.61520135861,90670.61520135861,0.0,0.0,0.0,17572.331597535805,14443.941126228603,6793.797746718072,3362.1155071123144,66709.48403252928,0.0,0.0,0.0,0.0,66709.48403252928,7449.659604189594,7215.9345683844795,68829.59819371799,0.07384149305555557,0.8482541666666666
2025-02-06,92111.51185924206,92111.51185924206,0.0,0.0,0.0,18527.366329018165,14975.575155312652,8288.663468869883,3516.6894279365556,67689.94911286658,0.0,0.0,0.0,0.0,67689.94911286658,7215.9345683844795,7251.036314153441,70383.79812977016,0.07758333333333334,0.8439645833333334
2025-02-07,45690.2624718496,45690.2624718496,0.0,0.0,0.0,15800.33944853562,13035.209585040047,11119.452941687367,3028.3905654135674,20743.876847012692,0.0,0.0,0.0,0.0,20743.876847012692,7251.036314153441,6987.7756122354485,21670.27883664391,0.07940121527777777,0.6440388888888889
2025-02-08,43369.978606503355,43369.978606503355,0.0,0.0,0.0,16024.429329443465,12963.623652730157,8732.010213123378,3042.845561025475,19135.168582293234,0.0,0.0,0.0,0.0,19135.168582293234,6987.7756122354485,7005.735727923281,19940.20008295944,0.06820381944444445,0.6423513888888889
2025-02-09,86694.0825226444,86694.0825226444,0.0,0.0,0.0,19611.268687471857,16208.178632983163,3735.576501489047,3762.0356057453155,62125.56486347557,0.0,0.0,0.0,0.0,62125.56486347557,7005.735727923281,6646.7901766666655,64714.1846415805,0.06405555555555557,0.8413840277777778
2025-02-10,88278.62594612177,88278.62594612177,0.0,0.0,0.0,18745.377314457182,14938.179902865078,10144.790951196339,3534.3354984307275,62421.49907270216,0.0,0.0,0.0,0.0,62421.49907270216,6646.7901766666655,6919.652089828043,63701.37441129064,0.04313611111111111,0.8180638888888888
2025-02-11,86283.36404453483,86283.36404453483,0.0,0.0,0.0,18568.74109439082,15233.270138444657,7727.295955255325,3549.459680377378,61065.80248347407,0.0,0.0,0.0,0.0,61065.80248347407,6919.652089828043,6705.663365396826,61993.735885045404,0.039537499999999996,0.828492361111111
2025-02-12,85944.8139403532,85944.8139403532,0.0,0.0,0.0,19301.248247521795,15627.180833397413,7004.010392895484,3666.4782506852257,60371.071018811395,0.0,0.0,0.0,0.0,60371.071018811395,6705.663365396826,6713.252528835976,61454.89015108769,0.044407638888888885,0.8264243055555556
2025-02-13,85149.24817028956,85149.24817028956,0.0,0.0,0.0,17306.62297857143,13921.674929285711,10434.821104337178,3277.5150677777783,59429.59959291299,0.0,0.0,0.0,0.0,59429.59959291299,6713.252528835976,6820.6855103439175,60590.02093246811,0.053643055555555555,0.8147909722222222
2025-02-14,41461.46021343814,41461.46021343814,0.0,0.0,0.0,17782.111761861972,14353.517241108197,8231.063876017703,3373.0464251982194,17762.822227659646,0.0,0.0,0.0,0.0,17762.822227659646,6820.6855103439175,6876.233605899471,17637.199848518085,0.04500277777777778,0.6311
2025-02-15,40769.85281494838,40769.85281494838,0.0,0.0,0.0,18077.531917625296,14935.130400871723,8347.360198194809,3467.2121251927215,17766.62762308109,0.0,0.0,0.0,0.0,17766.62762308109,6876.233605899471,6551.42299746032,16935.514552091732,0.03733611111111111,0.6378472222222222
2025-02-16,82916.84737226715,82916.84737226715,0.0,0.0,0.0,19737.358664967895,15778.217641983521,3580.327249282778,3726.8711600505144,57692.114326115305,0.0,0.0,0.0,0.0,57692.114326115305,6551.42299746032,6783.6928603941815,57691.82853195139,0.03430486111111111,0.8303222222222222
2025-02-17,82361.12230617406,82361.12230617406,0.0,0.0,0.0,18754.742223219186,15240.52027956349,7663.0371958517035,3568.8653644956403,56793.43963216006,0.0,0.0,0.0,0.0,56793.43963216006,6783.6928603941815,6729.049439554233,55845.25437214161,0.0341125,0.8173527777777778
2025-02-18,81667.48416155227,81667.48416155227,0.0,0.0,0.0,19173.78180240419,15321.887746284307,5724.202322099057,3619.8101520497867,55544.02477774468,0.0,0.0,0.0,0.0,55544.02477774468,6729.049439554233,6961.1333436243385,56145.251676777014,0.03575138888888888,0.8145215277777778
2025-02-19,80981.0725658671,80981.0725658671,0.0,0.0,0.0,20683.269955893167,17119.17427526288,4537.649501903481,3970.457470618526,55157.262029482576,0.0,0.0,0.0,0.0,55157.262029482576,6961.1333436243385,6554.771553636098,55208.22206586979,0.03846666666666668,0.8164298611111112
2025-02-20,80891.40886939722,80891.40886939722,0.0,0.0,21.94366190476171,19445.225045677696,15507.958344194443,5982.952096485397,3667.6289872560415,55183.735845309486,0.0,0.0,0.0,123.11491511666559,55306.850760426154,6554.771553636098,6824.409267863316,54376.27603755965,0.03620069444444445,0.8168069444444445
