date,issue_hour,price_model,pv_model,start_soc_kwh,proxy_objective,mip_gap,mip_absolute_gap,constraint_error,max_reserve_slack_soc_kwh,terminal_penalty,reserve_penalty,historical_days
2025-02-27,0,lag7,mean7,7043.309308183424,50464.574337212805,0.0,0.0,7.958078640513122e-13,0.0,0.6764781121476039,4.162942228600639,56
2025-02-28,0,lag7,mean7,6693.931391204105,14918.676957119826,0.0,0.0,7.275957614183426e-12,0.0,0.5099781801563793,3.1383272625007956,56
2025-03-01,0,lag7,mean7,6754.435242294623,15204.64369295521,0.0,0.0,1.4551915228366852e-11,0.0,0.5249809876466801,3.2306522316718773,56
2025-03-02,0,lag7,mean7,6752.499460226071,49825.4563120698,0.0,0.0,9.094947017729282e-13,0.0,0.6775700835125754,4.169662052385079,56
2025-03-03,0,lag7,mean7,6090.976340987655,49768.592239807695,0.0,0.0,9.094947017729282e-13,0.0,0.6685225687493948,4.113985038457813,56
2025-03-04,0,lag7,mean7,6135.216183888889,49726.692377256804,0.0,0.0,9.094947017729282e-13,0.0,0.6565137031370658,4.040084326997328,56
2025-03-05,0,lag7,mean7,6712.7839184127,50464.693663912316,0.0,0.0,9.094947017729282e-13,0.0,0.6664035143542864,4.100944703718685,56
2025-03-06,0,lag7,mean7,6543.586367671958,49081.113967753576,0.0,0.0,9.094947017729282e-13,0.0,0.6599050759665468,4.060954313640288,56
2025-03-07,0,lag7,mean7,6626.705480211643,13799.305192946127,7.654572857284616e-10,1.0562778697931208e-05,5.4569682106375694e-12,0.0,0.5061559117526414,3.1148056107854853,56
2025-03-08,0,lag7,mean7,6718.836697945325,13340.056063745309,3.861300116321209e-11,5.150996003067121e-07,9.094947017729282e-12,0.0,0.5040894686679265,3.1020890379564707,56
2025-03-09,0,lag7,mean7,6740.502935760583,47561.23251879664,0.0,0.0,5.343281372915953e-12,0.0,0.6718060468379446,4.134191057464275,56
2025-03-10,0,lag7,mean7,6722.525862708291,46532.6300887575,0.0,0.0,4.547473508864641e-13,0.0,0.6709958053054742,4.129204955725995,56
2025-03-11,0,lag7,mean7,6571.340256832012,46085.96406733476,0.0,0.0,1.1368683772161603e-13,0.0,0.6615462837428404,4.0710540538020945,56
2025-03-12,0,lag7,mean7,6648.047478234127,44737.229013248725,0.0,0.0,1.1368683772161603e-12,0.0,0.6562769890608483,4.038627624989836,56
2025-03-13,0,lag7,mean7,6456.882503055555,44302.280653364855,0.0,0.0,4.547473508864641e-13,0.0,0.6537302586806517,4.02295543803478,56
2025-03-14,0,lag7,mean7,6282.905488518519,12674.344050001537,1.2556312065579993e-10,1.5914301911834627e-06,1.8189894035458565e-12,0.0,0.49845331030044526,3.0674049864642785,56
2025-03-15,0,lag7,mean7,6660.90125351852,12696.090193300704,0.0,0.0,1.4551915228366852e-11,0.0,0.4887784043458029,3.007867103666479,56
2025-03-16,0,lag7,mean7,6134.892877010583,43534.30875749745,0.0,0.0,1.1368683772161603e-13,0.0,0.6472973766577826,3.9833684717402007,56
2025-03-17,0,lag7,mean7,6710.075893379631,44918.41051796497,0.0,0.0,2.7284841053187847e-12,0.0,0.6632450052231774,4.081507724450322,56
2025-03-18,0,lag7,mean7,6761.714711111113,42577.65210230375,0.0,0.0,3.183231456205249e-12,0.0,0.6516547682600163,4.010183189292408,56
2025-03-19,0,lag7,mean7,6549.224173915346,42347.06210775291,0.0,0.0,9.094947017729282e-13,0.0,0.6439986180396692,3.963068418705656,56
