date,q0_kwh,active_kwh,up_kwh,down_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh,storage_loss_kwh,plan_cost,up_cost,down_penalty,refund,emergency_cost,total_cost,start_soc_kwh,end_soc_kwh,forecast_plan_cost,price_mae_0,mean_actual_price
2025-03-20,69383.82153762493,69383.82153762493,0.0,0.0,0.0,21143.1537644033,17442.57688809524,3474.282844650196,4052.379475117579,43573.745263722834,0.0,0.0,0.0,0.0,43573.745263722834,6993.811293234125,6642.008694424605,44003.57031906377,0.04661319444444444,0.7786381944444445
2025-06-21,38626.20811991586,38626.20811991586,0.0,0.0,0.0,16421.75649312904,12986.027975505953,15855.739202292772,3085.067646591343,20307.378794159376,0.0,0.0,0.0,0.0,20307.378794159376,7899.238091170637,8249.898962202382,19540.897637168488,0.03529513888888889,0.6095256944444444
2025-09-23,71352.28724923468,71352.28724923468,0.0,0.0,0.0,22375.480721092707,17819.81702573809,4680.007970546736,4217.527741635726,46639.905390909546,0.0,0.0,0.0,0.0,46639.905390909546,6530.1276762149755,6868.263629933861,46295.57510983799,0.03995138888888889,0.7817520833333333
2025-12-21,100023.73835166931,100023.73835166931,0.0,0.0,0.0,23370.8382847234,18937.19835595238,6552.316556231628,4441.2169791337155,76358.76626914152,0.0,0.0,0.0,0.0,76358.76626914152,6700.81656638783,6693.2395160251335,76671.57551671662,0.03244305555555556,0.9100763888888888
