区间编号,经验覆盖率,上界突破率,下界突破率,平均区间宽度_kWh
1,0.8622754491017964,0.0748502994011976,0.06287425149700598,123.37525824800584
2,0.8682634730538922,0.08083832335329341,0.05089820359281437,119.65479985727727
3,0.8203592814371258,0.11676646706586827,0.06287425149700598,118.15988619352859
4,0.8682634730538922,0.08083832335329341,0.05089820359281437,119.47514053934077
5,0.8622754491017964,0.08383233532934131,0.05389221556886228,121.46474060725899
6,0.8383233532934131,0.08982035928143713,0.0718562874251497,123.0688704370759
7,0.8592814371257484,0.0688622754491018,0.0718562874251497,124.00025307689323
8,0.8622754491017964,0.0748502994011976,0.06287425149700598,124.39541285440818
9,0.844311377245509,0.10179640718562874,0.05389221556886228,121.54641709121115
10,0.8802395209580839,0.0658682634730539,0.05389221556886228,120.5818118135257
11,0.8622754491017964,0.0718562874251497,0.0658682634730539,118.85373965289493
12,0.8502994011976048,0.08383233532934131,0.0658682634730539,121.83055033209075
13,0.8622754491017964,0.0748502994011976,0.06287425149700598,118.57745855196109
14,0.8832335329341318,0.0658682634730539,0.05089820359281437,117.09137873332521
15,0.874251497005988,0.07784431137724551,0.04790419161676647,118.78773708280633
16,0.8712574850299402,0.08383233532934131,0.04491017964071856,117.52622381041192
17,0.8832335329341318,0.059880239520958084,0.05688622754491018,117.62999810102625
18,0.8413173652694611,0.10179640718562874,0.05688622754491018,117.30087730091867
19,0.8473053892215568,0.08083832335329341,0.0718562874251497,117.40942215279938
20,0.8562874251497006,0.08383233532934131,0.059880239520958084,118.2101144924725
21,0.8532934131736527,0.07784431137724551,0.0688622754491018,115.76678977558242
22,0.8532934131736527,0.0718562874251497,0.0748502994011976,115.52894211834048
23,0.874251497005988,0.07784431137724551,0.04790419161676647,117.71881199723111
24,0.8652694610778443,0.08083832335329341,0.05389221556886228,117.38631058373448
25,0.8532934131736527,0.07784431137724551,0.0688622754491018,117.2012835447002
26,0.874251497005988,0.0688622754491018,0.05688622754491018,118.43851384968828
27,0.8473053892215568,0.08982035928143713,0.06287425149700598,116.4166553143412
28,0.8922155688622755,0.06287425149700598,0.04491017964071856,115.97793600921575
29,0.8862275449101796,0.06287425149700598,0.05089820359281437,115.48881307581823
30,0.8532934131736527,0.09281437125748503,0.05389221556886228,115.14583638579941
31,0.8682634730538922,0.07784431137724551,0.05389221556886228,113.82524010470053
32,0.8592814371257484,0.07784431137724551,0.06287425149700598,112.45730182664478
33,0.8832335329341318,0.059880239520958084,0.05688622754491018,114.55249677203658
34,0.8952095808383234,0.059880239520958084,0.04491017964071856,118.89030546083718
35,0.8892215568862275,0.06287425149700598,0.04790419161676647,131.39179552490617
36,0.8263473053892215,0.10479041916167664,0.0688622754491018,173.10313148008962
37,0.874251497005988,0.0688622754491018,0.05688622754491018,181.923778346588
38,0.8922155688622755,0.05688622754491018,0.05089820359281437,186.6508472969066
39,0.8502994011976048,0.08383233532934131,0.0658682634730539,187.03142294244387
40,0.8413173652694611,0.09880239520958084,0.059880239520958084,186.24698692835076
41,0.8712574850299402,0.0748502994011976,0.05389221556886228,186.71444580282866
42,0.8682634730538922,0.0748502994011976,0.05688622754491018,185.73701524279173
43,0.8712574850299402,0.0688622754491018,0.059880239520958084,188.51527539810317
44,0.8473053892215568,0.08383233532934131,0.0688622754491018,192.39125212298353
45,0.8682634730538922,0.07784431137724551,0.05389221556886228,201.9350303858902
46,0.8712574850299402,0.0718562874251497,0.05688622754491018,215.4103288393933
47,0.8652694610778443,0.08083832335329341,0.05389221556886228,245.93654191121482
48,0.8323353293413174,0.09880239520958084,0.0688622754491018,296.6770377949026
49,0.8502994011976048,0.09281437125748503,0.05688622754491018,313.9924894954151
50,0.8592814371257484,0.08982035928143713,0.05089820359281437,328.1223110187651
51,0.8712574850299402,0.0718562874251497,0.05688622754491018,333.7490266330087
52,0.8622754491017964,0.0748502994011976,0.06287425149700598,332.7850645794974
53,0.8622754491017964,0.0748502994011976,0.06287425149700598,332.4134081021332
54,0.8922155688622755,0.05389221556886228,0.05389221556886228,329.66732504345407
55,0.8772455089820359,0.059880239520958084,0.06287425149700598,328.83924282054403
56,0.8622754491017964,0.07784431137724551,0.059880239520958084,330.8480382432215
57,0.874251497005988,0.0658682634730539,0.059880239520958084,334.89278377809677
58,0.8682634730538922,0.0718562874251497,0.059880239520958084,342.29681133906905
59,0.8413173652694611,0.08982035928143713,0.0688622754491018,344.1999027808914
60,0.874251497005988,0.0688622754491018,0.05688622754491018,353.3278273356662
61,0.874251497005988,0.0718562874251497,0.05389221556886228,362.0063685919692
62,0.874251497005988,0.0748502994011976,0.05089820359281437,369.0962613687854
63,0.874251497005988,0.0658682634730539,0.059880239520958084,376.7792193467927
64,0.8802395209580839,0.059880239520958084,0.059880239520958084,389.20284240344915
65,0.8622754491017964,0.0718562874251497,0.0658682634730539,391.5874297627723
66,0.8682634730538922,0.0718562874251497,0.059880239520958084,395.714441281634
67,0.8832335329341318,0.06287425149700598,0.05389221556886228,399.7512451757801
68,0.8712574850299402,0.0718562874251497,0.05688622754491018,404.14922778463966
69,0.8562874251497006,0.08083832335329341,0.06287425149700598,404.17297565105804
70,0.874251497005988,0.0718562874251497,0.05389221556886228,400.81575164285766
71,0.8772455089820359,0.0748502994011976,0.04790419161676647,403.76466736826654
72,0.8712574850299402,0.0748502994011976,0.05389221556886228,406.04702618979985
73,0.8682634730538922,0.0748502994011976,0.05688622754491018,404.46949101645674
74,0.8652694610778443,0.08083832335329341,0.05389221556886228,405.61649082849283
75,0.874251497005988,0.06287425149700598,0.06287425149700598,410.0547121851138
76,0.874251497005988,0.0748502994011976,0.05089820359281437,410.9956036975585
77,0.8682634730538922,0.07784431137724551,0.05389221556886228,409.7505037567074
78,0.8712574850299402,0.0688622754491018,0.059880239520958084,411.8801728933891
79,0.8592814371257484,0.0688622754491018,0.0718562874251497,402.02608438010765
80,0.8712574850299402,0.06287425149700598,0.0658682634730539,386.0376566032625
81,0.8802395209580839,0.05688622754491018,0.06287425149700598,376.11827763006784
82,0.8832335329341318,0.0658682634730539,0.05089820359281437,365.9075791854453
83,0.8622754491017964,0.0748502994011976,0.06287425149700598,361.1840299848169
84,0.8652694610778443,0.0688622754491018,0.0658682634730539,355.19163591319597
85,0.8622754491017964,0.07784431137724551,0.059880239520958084,352.6361911125629
86,0.8682634730538922,0.0748502994011976,0.05688622754491018,346.51449639849915
87,0.8592814371257484,0.08083832335329341,0.059880239520958084,340.87439417538843
88,0.8682634730538922,0.0748502994011976,0.05688622754491018,333.95213535199986
89,0.8772455089820359,0.0688622754491018,0.05389221556886228,329.9924994996315
90,0.8622754491017964,0.0688622754491018,0.0688622754491018,319.5387927181947
91,0.8772455089820359,0.059880239520958084,0.06287425149700598,318.1127557303201
92,0.9011976047904192,0.05389221556886228,0.04491017964071856,312.20972731585385
93,0.8592814371257484,0.0748502994011976,0.0658682634730539,302.5653304167989
94,0.8832335329341318,0.05389221556886228,0.06287425149700598,293.1001829152365
95,0.8922155688622755,0.05688622754491018,0.05089820359281437,285.6967847685612
96,0.874251497005988,0.0688622754491018,0.05688622754491018,277.28764562720784
97,0.8622754491017964,0.0748502994011976,0.06287425149700598,271.5293036811577
98,0.874251497005988,0.06287425149700598,0.06287425149700598,266.68870997400035
99,0.8922155688622755,0.05389221556886228,0.05389221556886228,266.89021820051266
100,0.8802395209580839,0.0688622754491018,0.05089820359281437,268.84407388229926
101,0.8802395209580839,0.05688622754491018,0.06287425149700598,276.79818912165246
102,0.8772455089820359,0.05389221556886228,0.0688622754491018,281.3267531300077
103,0.8892215568862275,0.04790419161676647,0.06287425149700598,287.2005032645543
104,0.8982035928143712,0.05089820359281437,0.05089820359281437,286.15948021955955
105,0.8622754491017964,0.08083832335329341,0.05688622754491018,278.36885684797124
106,0.8592814371257484,0.0718562874251497,0.0688622754491018,266.9873762450055
107,0.8832335329341318,0.059880239520958084,0.05688622754491018,226.56192785962932
108,0.8862275449101796,0.05089820359281437,0.06287425149700598,168.17772118193201
109,0.8952095808383234,0.05688622754491018,0.04790419161676647,160.15021509727538
110,0.8772455089820359,0.05688622754491018,0.0658682634730539,155.78542597846922
111,0.8562874251497006,0.0718562874251497,0.0718562874251497,157.34962417013412
112,0.8622754491017964,0.06287425149700598,0.0748502994011976,157.5955665924321
113,0.8652694610778443,0.08083832335329341,0.05389221556886228,156.69171733463486
114,0.8772455089820359,0.0658682634730539,0.05688622754491018,156.74814430571405
115,0.874251497005988,0.05688622754491018,0.0688622754491018,155.20585823134903
116,0.8682634730538922,0.0688622754491018,0.06287425149700598,154.34014062791206
117,0.8592814371257484,0.07784431137724551,0.06287425149700598,153.84355814301563
118,0.874251497005988,0.05688622754491018,0.0688622754491018,154.15683351833832
119,0.8832335329341318,0.06287425149700598,0.05389221556886228,154.05129899314653
120,0.8682634730538922,0.0718562874251497,0.059880239520958084,152.24567944177025
121,0.874251497005988,0.0688622754491018,0.05688622754491018,154.9695610313606
122,0.8772455089820359,0.05389221556886228,0.0688622754491018,155.77268784544614
123,0.8532934131736527,0.08682634730538923,0.059880239520958084,154.86726717377923
124,0.8772455089820359,0.0658682634730539,0.05688622754491018,156.85281856320427
125,0.8922155688622755,0.05089820359281437,0.05688622754491018,158.5749530345283
126,0.8413173652694611,0.09880239520958084,0.059880239520958084,156.73059456221375
127,0.8622754491017964,0.0688622754491018,0.0688622754491018,158.50458463011807
128,0.8532934131736527,0.08383233532934131,0.06287425149700598,157.44349538072137
129,0.8473053892215568,0.09281437125748503,0.059880239520958084,154.02887942226604
130,0.8413173652694611,0.08083832335329341,0.07784431137724551,149.4100357124033
131,0.8712574850299402,0.0658682634730539,0.06287425149700598,146.00232027700875
132,0.8832335329341318,0.06287425149700598,0.05389221556886228,130.8997825667733
133,0.8802395209580839,0.0658682634730539,0.05389221556886228,128.10736160863587
134,0.8922155688622755,0.059880239520958084,0.04790419161676647,126.18952513744632
135,0.8023952095808383,0.09281437125748503,0.10479041916167664,123.58783422236274
136,0.874251497005988,0.0688622754491018,0.05688622754491018,124.8823880345859
137,0.8862275449101796,0.0718562874251497,0.041916167664670656,122.5617085499193
138,0.8323353293413174,0.09580838323353294,0.0718562874251497,119.42656303251671
139,0.8952095808383234,0.05688622754491018,0.04790419161676647,120.60815891996226
140,0.9011976047904192,0.059880239520958084,0.038922155688622756,123.89311071002714
141,0.8682634730538922,0.0718562874251497,0.059880239520958084,122.00600950274293
142,0.8562874251497006,0.07784431137724551,0.0658682634730539,123.13952868427796
143,0.8652694610778443,0.0748502994011976,0.059880239520958084,124.63993730052964
144,0.8652694610778443,0.0748502994011976,0.059880239520958084,122.44189205084363
