变量,样本数,MAE,RMSE,Bias_预测减实际,P95绝对误差
负载功率_kW,48096,260.8172122023041,356.87004158205315,51.96608853948032,764.1334045323983
光伏功率_kW,48096,177.24600827359254,331.8908760368135,-15.449415041763437,779.9640331498201
净负荷电量_kWh,48096,58.28844592743929,81.76627656203868,11.235917263540623,176.35359027400588
